Obj,ID,year,territorial_emissions (ktCO2e),mid_year_population ,area,GDP per head ,travel flow on car/all vehicles,high-carbon industry ratio,,,,,,,,,,,,,
1,1,2005,1713.73731,541.956,3.068841026,"5,327,677",0.726804124,0.12808921,,,,,,,,,,,,,
2,1,2006,1845.418237,551.304,3.068841026,"5,728,475",0.696969697,0.108499096,,,,,,,,,,,,,
3,1,2007,1738.109831,570.525,3.028461538,"6,278,247",0.687179487,0.11151296,,,,,,,,,,,,,
4,1,2008,1750.251928,557.175,3.028461538,"6,351,098",0.7,0.11151296,,,,,,,,,,,,,
5,1,2009,1545.915502,552.928,2.988082051,"6,514,941",0.711764706,0.185873606,,,,,,,,,,,,,
6,1,2010,1703.696754,543.012,2.988082051,"6,984,636",0.708333333,0.172774869,,,,,,,,,,,,,
7,1,2011,1457.960837,548.488,2.988082051,"7,249,130",0.713414634,0.182282794,,,,,,,,,,,,,
8,1,2012,1602.107341,489.288,2.988082051,"8,083,077",0.704402516,0.173109244,,,,,,,,,,,,,
9,1,2013,1474.685647,446.294,2.988082051,"9,496,006",0.698113208,0.1642,,,,,,,,,,,,,
10,1,2014,1224.480749,454.286,2.988082051,"9,729,141",0.699386503,0.1532,,,,,,,,,,,,,
11,1,2015,1073.45754,494.838,2.988082051,"9,156,270",0.705521472,0.016021245,,,,,,,,,,,,,
12,1,2016,889.9874793,536.204,2.988082051,"9,547,417",0.6875,0.017056106,,,,,,,,,,,,,
13,1,2017,784.2850843,566.396,2.988082051,"9,259,829",0.681818182,0.019272053,,,,,,,,,,,,,
14,1,2018,774.8646339,670.362,3.109220513,"8,842,982",0.677852349,0.021587364,,,,,,,,,,,,,
15,1,2019,737.5229374,748.517,3.109220513,"8,252,331",0.673333333,0.024748361,,,,,,,,,,,,,
16,1,2020,584.3248427,809.412,2.988082051,"7,953,665",0.64957265,0.02146,,,,,,,,,,,,,
17,2,2005,1005.099461,12636.9,36.82998974,"17,306",0.807936508,0.052742616,,,,,,,,,,,,,
18,2,2006,1008.323398,12703.932,36.82998974,"19,030",0.792168675,0.054249548,,,,,,,,,,,,,
19,2,2007,992.4354117,12846.356,36.82998974,"19,761",0.779635258,0.04822182,,,,,,,,,,,,,
20,2,2008,950.3953719,13106.352,36.82998974,"19,832",0.790322581,0.049728752,,,,,,,,,,,,,
21,2,2009,867.5655466,13140.92,35.86077949,"18,214",0.797856049,0.087159533,,,,,,,,,,,,,
22,2,2010,943.2130256,13530.012,35.86077949,"19,620",0.802507837,0.086887836,,,,,,,,,,,,,
23,2,2011,857.3310588,13840.146,35.86077949,"19,719",0.791208791,0.078721746,,,,,,,,,,,,,
24,2,2012,892.945035,14109.062,35.86077949,"20,038",0.789473684,0.081929556,,,,,,,,,,,,,
25,2,2013,857.8592113,14398.624,35.86077949,"21,218",0.786392405,0.088432,,,,,,,,,,,,,
26,2,2014,754.5595088,14700.1,35.86077949,"21,114",0.7856049,0.99643,,,,,,,,,,,,,
27,2,2015,726.3149454,15029.474,35.86077949,"20,806",0.784073507,0.157593123,,,,,,,,,,,,,
28,2,2016,673.3906292,15405.468,35.86077949,"19,632",0.766716196,0.168241966,,,,,,,,,,,,,
29,2,2017,643.8571097,15592.614,35.86077949,"19,146",0.765861027,0.172101449,,,,,,,,,,,,,
30,2,2018,737.1633145,16535.844,37.7992,"19,574",0.763636364,0.171901134,,,,,,,,,,,,,
31,2,2019,765.5059296,16606.668,37.7992,"20,262",0.767019667,0.190591701,,,,,,,,,,,,,
32,2,2020,696.3637054,16058.025,36.34538462,"19,042",0.744186047,0.190032,,,,,,,,,,,,,
33,3,2005,1919.898016,24893.116,84.52398462,"20,572",0.826086957,0.088908981,,,,,,,,,,,,,
