id,year,carbon_emit,pop,district_size,pop_density,gdp,privatecar_flows,highc_industry,highedu_pop,waste_recycle,earnings,green_spaces
1,2005,1713.74,541.96,3.07,176.6,5327677,0.73,0.13,73.6,18.1,45000,4.83
1,2006,1845.42,551.3,3.07,179.65,5728475,0.7,0.11,67.4,28.19,46292,4.83
1,2007,1738.11,570.53,3.03,188.39,6278247,0.69,0.11,72.6,33.39,49955,4.83
1,2008,1750.25,557.17,3.03,183.98,6351098,0.7,0.11,69.1,34.19,50503,4.83
1,2009,1545.92,552.93,2.99,185.04,6514941,0.71,0.19,100,35.19,52092,4.83
1,2010,1703.7,543.01,2.99,181.73,6984636,0.71,0.17,100,39.03,52271,4.83
1,2011,1457.96,548.49,2.99,183.56,7249130,0.71,0.18,100,36.86,54381,4.83
1,2012,1602.11,489.29,2.99,163.75,8083077,0.7,0.17,100,36.41,54000,4.83
1,2013,1474.69,446.29,2.99,149.36,9496006,0.7,0.16,100,36.4,54802,4.83
1,2014,1224.48,454.29,2.99,152.03,9729141,0.7,0.15,100,36.39,56328,4.83
1,2015,1073.46,494.84,2.99,165.6,9156270,0.71,0.02,100,37.82,58632.88,4.83
1,2016,889.99,536.2,2.99,179.45,9547417,0.69,0.02,100,38.49,61693.68,4.83
1,2017,784.29,566.4,2.99,189.55,9259829,0.68,0.02,100,38.65,66125.53,4.83
1,2018,774.86,670.36,3.11,215.6,8842982,0.68,0.02,100,38.76,87285.76,4.83
1,2019,737.52,748.52,3.11,240.74,8252331,0.67,0.02,100,38.82,104220.81,4.83
1,2020,584.32,809.41,2.99,270.88,7953665,0.65,0.02,100,39.01,137374.89,4.83
2,2005,1005.1,12636.9,36.83,343.11,17306,0.81,0.05,14.2,16.6,26680,33.58
2,2006,1008.32,12703.93,36.83,344.93,19030,0.79,0.05,12.8,21.08,26549,33.58
2,2007,992.44,12846.36,36.83,348.8,19761,0.78,0.05,15.6,20.41,30200,33.58
2,2008,950.4,13106.35,36.83,355.86,19832,0.79,0.05,17.9,24.91,29396,33.58
2,2009,867.57,13140.92,35.86,366.44,18214,0.8,0.09,20.8,32.75,30973,33.58
2,2010,943.21,13530.01,35.86,377.29,19620,0.8,0.09,25.5,28.23,28527,33.58
2,2011,857.33,13840.15,35.86,385.94,19719,0.79,0.08,24.4,29.97,28201,33.58
2,2012,892.95,14109.06,35.86,393.44,20038,0.79,0.08,23.2,26.84,33131,33.58
2,2013,857.86,14398.62,35.86,401.51,21218,0.79,0.09,24.9,30.84,32223,33.58
2,2014,754.56,14700.1,35.86,409.92,21114,0.79,1,28.62,32.98,32481.28,33.58
2,2015,726.31,15029.47,35.86,419.11,20806,0.78,0.16,28.43,34.31,33418.11,33.58
2,2016,673.39,15405.47,35.86,429.59,19632,0.77,0.17,27.07,35.21,34687.61,33.58
2,2017,643.86,15592.61,35.86,434.81,19146,0.77,0.17,26.11,36.47,36253.06,33.58
2,2018,737.16,16535.84,37.8,437.47,19574,0.76,0.17,25.33,36.34,39277.89,33.58
2,2019,765.51,16606.67,37.8,439.34,20262,0.77,0.19,25.53,37.4,43991.4,33.58
2,2020,696.36,16058.03,36.35,441.82,19042,0.74,0.19,25.87,39.35,51216.27,33.58
3,2005,1919.9,24893.12,84.52,294.51,20572,0.83,0.09,38.8,27.47,27033,41.32
3,2006,1921.57,25140.88,84.52,297.44,21773,0.82,0.08,36.1,29.47,26071,41.32
3,2007,1855.07,25447.61,84.52,301.07,22596,0.81,0.08,40.9,30.68,27436,41.32
3,2008,1856.98,25780.11,84.52,305,22229,0.81,0.08,40.8,31.18,27978,41.32
3,2009,1712.84,25591.35,82.3,310.95,20728,0.82,0.14,41.6,33.07,30496,41.32
3,2010,1851.27,26006.41,82.3,316,21140,0.82,0.14,49.6,32.77,30000,41.32
3,2011,1678.07,26457.81,82.3,321.48,21649,0.82,0.14,50.5,33.58,30237,41.32
